,Archipelago,Island1,Island2,beta_sor,beta_sim,beta_sne,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
372,Cook_Islands,Mangaia,Takutea,0.489361702,0.25,0.239361702,42.435,64.605,18.45,238.08,12.05,12.83,0.1,236.3534773,1.14553425,0.173713875
373,Cook_Islands,Mauke,Mitiaro,0.461538462,0.222222222,0.239316239,20.005,54.86,8.47,46.12,16.65,13.06,7.66,42.70836795,0,0.052546692
374,Cook_Islands,Mauke,Nassau,0.741935484,0.555555556,0.186379928,16.16,42.325,11.57,1282.29,24.34,12.01,13.86,1279.097537,2.59339726,0.010616532
375,Cook_Islands,Mauke,Rarotonga,0.777777778,0,0.777777778,52.18,66.67,2.87,278.53,47.7,36.68,3.54,277.3283026,0.50967124,0.186063576
376,Cook_Islands,Mauke,Takutea,0.6,0.444444444,0.155555556,32.37,59.675,11.57,105.58,8.08,22.69,13.86,103.310462,0.00890411,0.014469719
377,Cook_Islands,Mitiaro,Nassau,0.58974359,0.529411765,0.060331825,7.835,48.855,15.4,1235.45,7.69,25.07,6.2,1230.684468,2.59339726,0.063163224
378,Cook_Islands,Mitiaro,Rarotonga,0.640449438,0.058823529,0.581625909,43.855,73.2,6.7,261.49,64.35,23.62,11.2,258.7152344,0.50967124,0.238610268
379,Cook_Islands,Mitiaro,Takutea,0.515151515,0.5,0.015151515,24.045,66.205,15.4,61.92,24.73,9.63,6.2,58.07739382,0.00890411,0.038076973
380,Cook_Islands,Nassau,Rarotonga,0.595744681,0.136363636,0.459381044,40.01,60.665,9.8,1227.46,72.04,48.69,17.4,1224.904403,3.1030685,0.175447044
381,Cook_Islands,Nassau,Takutea,0.578947368,0.5,0.078947368,20.2,53.67,18.5,220.74,32.42,34.7,0,217.1165625,2.58449315,0.025086251
382,Cook_Islands,Rarotonga,Takutea,0.636363636,0,0.636363636,56.22,78.015,9.8,220.58,39.62,13.99,17.4,218.9473285,0.51857535,0.200533295
383,Cook_Islands,Atiu,Aitutaki,0.205128205,0.114285714,0.090842491,34.81,59.605,4.115,215.86,3.2,22.83,6.55,213.8445137,0.51241095,0.065627671
384,Cook_Islands,Mangaia,Aitutaki,0.378378378,0.258064516,0.120313862,40.835,53.19,9.62,393.12,15.25,10,17.56,392.0785031,1.6579452,0.218865395
385,Cook_Islands,Mangaia,Atiu,0.272727273,0.225806452,0.046920821,42.435,64.605,12.895,215.11,12.05,12.83,11.01,213.3834773,1.14553425,0.153237724
386,Cook_Islands,Mauke,Aitutaki,0.730769231,0.222222222,0.508547009,30.77,48.26,2.74,215.86,4.88,0.14,3.8,214.2754878,0.52131506,0.059621239
387,Cook_Islands,Mauke,Atiu,0.636363636,0.111111111,0.525252525,32.37,59.675,6.015,82.86,8.08,22.69,2.75,80.59046203,0.00890411,0.006006432
388,Cook_Islands,Mauke,Mangaia,0.65,0.222222222,0.427777778,38.395,53.26,11.52,207.78,20.13,9.86,13.76,206.4844514,1.13663014,0.159244156
389,Cook_Islands,Mitiaro,Aitutaki,0.5,0.117647059,0.382352941,22.445,54.79,6.57,242.8,21.53,13.2,11.46,239.6424196,0.52131506,0.007074547
390,Cook_Islands,Mitiaro,Atiu,0.346153846,0,0.346153846,24.045,66.205,9.845,45.02,24.73,9.63,4.91,41.17739382,0.00890411,0.058553124
391,Cook_Islands,Mitiaro,Mangaia,0.416666667,0.176470588,0.240196078,30.07,59.79,15.35,229.32,36.78,3.2,6.1,226.4513832,1.13663014,0.211790848
392,Cook_Islands,Mitiaro,Mauke,0.461538462,0.222222222,0.239316239,20.005,54.86,8.47,46.12,16.65,13.06,7.66,42.70836795,0,0.052546692
393,Cook_Islands,Nassau,Aitutaki,0.538461538,0.318181818,0.22027972,18.6,42.255,9.67,1010.37,29.22,11.87,17.66,1007.431588,2.0720822,0.070237771
394,Cook_Islands,Nassau,Atiu,0.50877193,0.363636364,0.145135566,20.2,53.67,12.945,1216.44,32.42,34.7,11.11,1212.816562,2.58449315,0.0046101
395,Cook_Islands,Nassau,Mangaia,0.509433962,0.409090909,0.100343053,26.225,47.255,18.45,1399.22,44.47,21.87,0.1,1396.570552,3.7300274,0.148627624
396,Cook_Islands,Nassau,Mauke,0.741935484,0.555555556,0.186379928,16.16,42.325,11.57,1282.29,24.34,12.01,13.86,1279.097537,2.59339726,0.010616532
397,Cook_Islands,Nassau,Mitiaro,0.58974359,0.529411765,0.060331825,7.835,48.855,15.4,1235.45,7.69,25.07,6.2,1230.684468,2.59339726,0.063163224
398,Cook_Islands,Rarotonga,Aitutaki,0.32173913,0.093023256,0.228715875,54.62,66.6,0.97,261.64,42.82,36.82,0.26,260.6923542,1.0309863,0.245684815
399,Cook_Islands,Rarotonga,Atiu,0.364485981,0.028571429,0.335914553,56.22,78.015,4.245,221.5,39.62,13.99,6.29,219.8673285,0.51857535,0.180057144
400,Cook_Islands,Rarotonga,Mangaia,0.45631068,0.096774194,0.359536486,62.245,71.6,9.75,206.93,27.57,26.82,17.3,206.2713178,0.6269589,0.02681942
401,Cook_Islands,Rarotonga,Mauke,0.777777778,0,0.777777778,52.18,66.67,2.87,278.53,47.7,36.68,3.54,277.3283026,0.50967124,0.186063576
402,Cook_Islands,Rarotonga,Mitiaro,0.640449438,0.058823529,0.581625909,43.855,73.2,6.7,261.49,64.35,23.62,11.2,258.7152344,0.50967124,0.238610268
403,Cook_Islands,Rarotonga,Nassau,0.595744681,0.136363636,0.459381044,40.01,60.665,9.8,1227.46,72.04,48.69,17.4,1224.904403,3.1030685,0.175447044
404,Cook_Islands,Takutea,Aitutaki,0.457627119,0,0.457627119,34.81,59.605,9.67,189.6,3.2,22.83,17.66,187.5845137,0.51241095,0.04515152
405,Cook_Islands,Takutea,Atiu,0.411764706,0.0625,0.349264706,36.41,71.02,12.945,27.45,0,0,11.11,24.7494879,0,0.020476151
