,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,mean_sst,mean_past_sst,Group1,Group2,Archipelago1.var,Archipelago2.var,Distance_raw,Distance
11,American_Samoa,Islas_Revillagigedo,0.92019154,0.714285714,0.205905826,3.2655168,235.029727,40.0348289,13,29.71428543,3.84,5.36643,27.02,25.658965,Within_Oceans,Pacific,American_Samoa,Islas_Revillagigedo,"7.333,15",7.333
12,American_Samoa,Juan_Fernandez_Islands,0.994699647,0.944444444,0.050255202,440.6898169,117.346033,359.0015163,21.6,30.5714283,11.27,9.55089,23.305,23.566735,Within_Oceans,Pacific,American_Samoa,Juan_Fernandez_Islands,"9.257,37",9.257
13,American_Samoa,Maldives,0.417417417,0.367391304,0.050026113,250.9403219,1574.146743,144.1593551,19,2.5714283,0.46,1.60126,29.17,27.54155,Across_Oceans,Pacific-Indian,American_Samoa,Maldives,"12.863,83",12.863
14,American_Samoa,Maluku_Islands,0.51039261,0.508348794,0.002043816,104.2475687,623.674115,165.3610683,19.6,32.85714149,0.58,1.0763,29.23,27.80403,Within_Oceans,Pacific,American_Samoa,Maluku_Islands,"6.686,42",6.686
15,American_Samoa,Marianas_Islands,0.267384917,0.22406639,0.043318527,156.2054242,191.220165,118.6811767,7,28.71428549,0.17,0.43293,29.025,28.125715,Within_Oceans,Pacific,American_Samoa,Marianas_Islands,"5.786,71",5.786
16,American_Samoa,Sao_Tome_Principe_and_Annobon,0.9734375,0.915841584,0.057595916,1706.550718,241.161727,299.8871398,8,0.2857151,1.28,6.93961,28.3,24.872375,Across_Oceans,Pacific-Atlantic,American_Samoa,Sao_Tome_Principe_and_Annobon,"18.429,15",18.429
17,American_Samoa,Seychelles,0.472422062,0.453823237,0.018598825,52.090358,419.744326,79.53104431,112,14.71428585,0.65,1.31298,28.615,27.68569,Across_Oceans,Pacific-Indian,American_Samoa,Seychelles,"14.449,83",14.449
18,American_Samoa,Virgin_Islands,0.975460123,0.953727506,0.021732616,79.325486,161.260818,70.7650407,87,17.42857075,0.74,3.11258,28.57,26.78589,Across_Oceans,Pacific-Atlantic,American_Samoa,Virgin_Islands,"12.172,13",12.172
19,Andaman_and_Nicobar_Islands,Azores,0.977736549,0.934782609,0.04295394,105.2332822,674.750032,623.3829193,19.77,42.57143021,9.78,10.49124,24.25,20.53231,Across_Oceans,Atlantic-Indian,Azores,Andaman_and_Nicobar_Islands,"11.684,71",11.684
20,Andaman_and_Nicobar_Islands,Bermuda,0.983471074,0.978494624,0.004976451,77.1232033,136.127032,294.2104682,44.2,39.14285875,5.24,5.39773,26.52,23.079065,Across_Oceans,Atlantic-Indian,Bermuda,Andaman_and_Nicobar_Islands,"14.527,7",14.527
21,Andaman_and_Nicobar_Islands,Canary_Islands,0.983739837,0.970238095,0.013501742,81.8076023,482.712032,580.2972504,22.2,42.57143021,7.44,7.62163,25.42,21.967115,Across_Oceans,Atlantic-Indian,Canary_Islands,Andaman_and_Nicobar_Islands,"11.252,74",11.252
22,Andaman_and_Nicobar_Islands,Cape_Verde,0.966527197,0.955555556,0.010971641,105.2332822,369.829032,623.3829193,12.2,42.57143021,4.51,3.70691,26.885,23.924475,Across_Oceans,Atlantic-Indian,Cape_Verde,Andaman_and_Nicobar_Islands,"12.482,21",12.482
23,Andaman_and_Nicobar_Islands,Cook_Islands,0.711815562,0.66442953,0.047386032,126.0732313,623.13627,173.4508995,15.7,40.00000167,1.82,1.07341,28.23,26.314635,Across_Oceans,Pacific-Indian,Cook_Islands,Andaman_and_Nicobar_Islands,"12.275,17",12.275
24,Andaman_and_Nicobar_Islands,Fiji,0.698969072,0.346756152,0.35221292,109.4922014,1747.181888,0.55341002,25.2,9.14286042,1.67,1.40077,28.305,26.478315,Across_Oceans,Pacific-Indian,Fiji,Andaman_and_Nicobar_Islands,"9.979,52",9.979
25,Andaman_and_Nicobar_Islands,French_Polynesia,0.777476255,0.63310962,0.144366635,156.4551274,660.552231,207.8026184,39,39.57143021,1.22,0.10921,28.53,25.832535,Across_Oceans,Pacific-Indian,French_Polynesia,Andaman_and_Nicobar_Islands,"13.339,84",13.339
26,Andaman_and_Nicobar_Islands,Galapagos,0.932795699,0.915824916,0.016970783,297.2060539,550.934338,509.6838321,0.51,42.57143021,5.17,1.61987,26.555,24.967995,Across_Oceans,Pacific-Indian,Galapagos,Andaman_and_Nicobar_Islands,"18.662,05",18.662
27,Andaman_and_Nicobar_Islands,Hawaii,0.846774194,0.829977629,0.016796565,142.6255939,298.83631,373.8329483,22.2,39.14285875,3.15,1.26867,27.565,26.412265,Across_Oceans,Pacific-Indian,Hawaii,Andaman_and_Nicobar_Islands,"11.468,98",11.468
28,Andaman_and_Nicobar_Islands,Islas_Revillagigedo,0.938906752,0.891428571,0.047478181,140.2182462,668.618032,190.7171447,7.2,41.71428734,4.04,2.80218,27.12,24.37684,Across_Oceans,Pacific-Indian,Islas_Revillagigedo,Andaman_and_Nicobar_Islands,"15.556,25",15.556
29,Andaman_and_Nicobar_Islands,Juan_Fernandez_Islands,1,1,0,297.2060539,550.934338,509.6838321,1.4,42.57143021,11.47,6.98664,23.405,22.28461,Across_Oceans,Pacific-Indian,Juan_Fernandez_Islands,Andaman_and_Nicobar_Islands,"17.484,31",17.484
30,Andaman_and_Nicobar_Islands,Maldives,0.613752743,0.409395973,0.20435677,107.4565589,1140.558438,6.52296066,1.2,9.42857361,0.26,0.96299,29.27,26.259425,Within_Oceans,Indian,Maldives,Andaman_and_Nicobar_Islands,"2.334,45",2.334
31,Andaman_and_Nicobar_Islands,Maluku_Islands,0.641460235,0.384787472,0.256672763,247.7313317,190.08581,14.67875258,0.6,20.85713958,0.38,1.48795,29.33,26.521905,Within_Regions,Western_Indo_Pacific,Andaman_and_Nicobar_Islands,Maluku_Islands,"4.436,48",4.436
32,Andaman_and_Nicobar_Islands,Marianas_Islands,0.710843373,0.543624161,0.167219212,12.7216612,624.80847,32.00113901,27.2,40.7142874,0.03,2.13132,29.125,26.84359,Within_Regions,Western_Indo_Pacific,Andaman_and_Nicobar_Islands,Marianas_Islands,"5.700,12",5.7
33,Andaman_and_Nicobar_Islands,Sao_Tome_Principe_and_Annobon,0.978428351,0.965346535,0.013081817,1563.066955,674.750032,450.5694556,28.2,11.71428681,1.48,4.37536,28.4,23.59025,Across_Oceans,Atlantic-Indian,Sao_Tome_Principe_and_Annobon,Andaman_and_Nicobar_Islands,"9.602,68",9.602
34,Andaman_and_Nicobar_Islands,Seychelles,0.646492435,0.425055928,0.221436506,91.393405,13.843979,71.15127144,132.2,26.71428776,0.85,1.25127,28.715,26.403565,Within_Oceans,Indian,Seychelles,Andaman_and_Nicobar_Islands,"4.542,28",4.542
